,rank,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,weight
25,26,2651,Power Grid,2,6,120.0,120,120,2004.0,7.92341,7.83976,45208,12.0,"Auction/Bidding, Route/Network Building",52087,"Economic, Industry / Manufacturing",Friedemann Friese,3.284
26,27,72125,Eclipse,2,6,130.0,60,200,2011.0,7.9873,7.82639,21978,14.0,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",23936,"Civilization, Fighting, Science Fiction, Space Exploration, Wargame",Touko Tahkokallio,3.6827
29,30,121921,Robinson Crusoe: Adventures on the Cursed Island,1,4,90.0,60,120,2012.0,7.97108,7.79835,21599,14.0,"Action / Movement Programming, Co-operative Play, Deck / Pool Building, Dice Rolling, Storytelling, Tile Placement, Variable Player Powers, Worker Placement",32911,"Adventure, Exploration, Fighting, Novel-based",Ignacy Trzewiczek,3.7199
31,32,126163,Tzolk'in: The Mayan Calendar,2,4,90.0,90,90,2012.0,7.93453,7.78638,20244,13.0,"Set Collection, Worker Placement",23138,"Ancient, Civilization, Economic, Farming, Mythology","Simone Luciani, Daniele Tascini",3.6354
32,33,35677,Le Havre,1,5,90.0,30,150,2008.0,7.91515,7.78617,20531,12.0,Worker Placement,22295,"City Building, Economic, Industry / Manufacturing, Nautical",Uwe Rosenberg,3.7588
33,34,124742,Android: Netrunner,2,2,45.0,45,45,2012.0,7.94351,7.76565,21975,14.0,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers",34501,"Bluffing, Card Game, Collectible Components, Science Fiction","Richard Garfield, Lukas Litzsinger",3.3541
35,36,171623,The Voyages of Marco Polo,2,4,70.0,40,100,2015.0,7.97219,7.74016,11557,12.0,"Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement",13553,"Dice, Economic, Medieval, Travel","Simone Luciani, Daniele Tascini",3.1864
37,38,178900,Codenames,2,8,15.0,15,15,2015.0,7.82596,7.7283,38422,14.0,"Memory, Partnerships, Pattern Recognition, Press Your Luck",60771,"Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",Vlaada Chvátil,1.3471
38,39,122515,Keyflower,2,6,105.0,90,120,2012.0,7.90815,7.72627,13441,12.0,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement",16461,"City Building, Economic, Nautical, Renaissance, Territory Building","Sebastian Bleasdale, Richard Breese",3.3407
39,40,68448,7 Wonders,2,7,30.0,30,30,2010.0,7.81302,7.72443,58363,10.0,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",76022,"Ancient, Card Game, City Building, Civilization",Antoine Bauza,2.3425
40,41,146508,T.I.M.E Stories,2,4,165.0,90,240,2015.0,7.93947,7.72144,14236,12.0,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers",22239,"Adventure, Mature / Adult, Science Fiction","Peggy Chassenet, Manuel Rozoy",2.6657
41,42,18602,Caylus,2,5,105.0,60,150,2005.0,7.83973,7.69617,22981,12.0,Worker Placement,23284,"City Building, Economic, Medieval",William Attia,3.818
42,43,146021,Eldritch Horror,1,8,180.0,120,240,2013.0,7.91987,7.69059,19177,14.0,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers",28786,"Adventure, Fantasy, Fighting, Horror, Novel-based","Corey Konieczka, Nikki Valens",3.3105
43,44,12493,Twilight Imperium (Third Edition),3,6,210.0,180,240,2005.0,7.91225,7.69023,16171,14.0,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter, Modular Board, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting",18479,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen,4.2378
44,45,28143,Race for the Galaxy,2,4,45.0,30,60,2007.0,7.76621,7.6761,36804,12.0,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",44213,"Card Game, Civilization, Economic, Science Fiction, Space Exploration",Thomas Lehmann,2.9725
45,46,110327,Lords of Waterdeep,2,5,90.0,60,120,2012.0,7.7901,7.67272,32876,12.0,"Set Collection, Take That, Worker Placement",40353,"City Building, Fantasy","Peter Lee, Rodney Thompson",2.497
